category,name,description,showroom,warehouse,source_row
Uncategorised,Alum Capacito 5 UF 45V,Alum Capacitor 5 UF 450V,0.0,0.0,3
Uncategorised,alum Capacitor 3 UF 450V,,0.0,0.0,4
Construction Materials,#100 Sand Paper,,0.0,0.0,6
Construction Materials,1 Lot Malandag Panadero Hardwa2,1 Lot Malandag Panadero Hardware Materials (2nd,0.0,0.0,7
Construction Materials,1 Lot Malandag Panadero Hardwa3,1 Lot Malandag Panadero Hardware Materials(3rd D,0.0,0.0,8
Construction Materials,1 Lot Malandag Panadero Hardwar,1 Lot Malandag Panadero Hardware Materials (1st,0.0,0.0,9
Construction Materials,"1""x3""x1.2mm B.I. Tubular Pipe",,0.0,1.0,10
Construction Materials,"1/2"" PPR Coupling",,0.0,0.0,11
Construction Materials,"1/2"" PPR Pipe",,0.0,0.0,12
Construction Materials,"2""x3""x1.2mm B.I. Tubular Pipe",,0.0,1.0,13
Construction Materials,6 Steps Ladder,,0.0,0.0,14
Construction Materials,Additional Order for Malandag,,0.0,0.0,15
Construction Materials,Angle Valve 1/2 G.I,,0.0,0.0,16
Construction Materials,Angle Valve 1/2x1/2 2 way,,0.0,0.0,17
Construction Materials,Angular 1/4 PCW,,0.0,0.0,18
Construction Materials,Baking Soon Tarp,,0.0,0.0,19
Construction Materials,Blind Revits 1/8x3/4,,0.0,0.0,20
Construction Materials,Breaker Panel Board Housing - 1,Breaker Panel Board Housing - 18 Prongs,0.0,0.0,21
Construction Materials,Breaker Panel Board Housing - 8,Breaker Panel Board Housing - 8 Prongs,0.0,0.0,22
Construction Materials,Cement,,0.0,0.0,23
Construction Materials,Check Valve 1/2,,0.0,0.0,24
Construction Materials,Cladding Sheet,ACP Ultrabond E038 Gloss China Red 4mmx4x8,0.0,0.0,25
Construction Materials,Clear Glass,7x10x1/4,0.0,0.0,26
Construction Materials,Clear Glass 1/8,,0.0,0.0,27
Construction Materials,Clear Glass 3/16,,0.0,0.0,28
Construction Materials,Coarse Sand,,0.0,0.0,29
Construction Materials,Copper Elbow 1 1/8,,0.0,0.0,30
Construction Materials,Copper Pipe 1 1/8,,0.0,0.0,31
Construction Materials,Copper Tube 5/8,,0.0,0.0,32
Construction Materials,Copper Tube Bender 5/8,,0.0,0.0,33
Construction Materials,Copper Tube Elbow 5/8,,0.0,0.0,34
Construction Materials,Coupling #1 PVC,"PVC Conduit Elbow 25 - 1""x3 1/2 (45°)",0.0,0.0,35
Construction Materials,Coupling #2 PVC Clean Out,Coupling #2 PVC Clean Out Clean Out,0.0,0.0,36
Construction Materials,Coupling #3 PVC Clean Out,,0.0,0.0,37
Construction Materials,Coupling #3/4 PVC,PVC Coupling Male Adapter #3/4,0.0,0.0,38
Construction Materials,Coupling #4 PVC,,0.0,0.0,39
Construction Materials,Creston Flexible Hose SS 1/2,"Creston Flexible Hose SS 1/2x1/2x18""",0.0,0.0,40
Construction Materials,Crosstee 1/2,,0.0,0.0,41
Construction Materials,Cutting Disc #4,,0.0,0.0,42
Construction Materials,Cutting Disc Ordinary,,0.0,0.0,43
Construction Materials,Deform Bar 10mm,,0.0,0.0,44
Construction Materials,Door/Safety Latches and Inside,Door/Safety Latches and Inside Release Handles 11,0.0,0.0,45
Construction Materials,"Double Throw 60amp, 1P",,0.0,0.0,46
Construction Materials,Epoxy Primer Gray,,0.0,0.0,47
Construction Materials,Faucet,,0.0,0.0,48
Construction Materials,Faucet - Gooseneck,,0.0,0.0,49
Construction Materials,Faucet Plain Bibb 1/2 Med BP,,0.0,0.0,50
Construction Materials,Faucet w/ extendable Hose,Faucet w/ extendable Hose 1-1.5m,0.0,0.0,51
Construction Materials,Flap Disc,,0.0,0.0,52
Construction Materials,Flaring Tools for Copper Tube,,0.0,0.0,53
Construction Materials,Floor Mount 2 Gang,,0.0,0.0,54
Construction Materials,G.I Elbow 5x90,,0.0,0.0,55
Construction Materials,Gas Range Igniter,,0.0,0.0,56
Construction Materials,"Gate Valve 1/2""",,0.0,0.0,57
Construction Materials,Hardiflex 3.5mm,,0.0,0.0,58
Construction Materials,Hardiflex 4.5mm,,0.0,0.0,59
Construction Materials,Heavy Duty Padlock,,0.0,0.0,60
Construction Materials,"Insolation Pipe 1""",,0.0,0.0,61
Construction Materials,Liquid Tight Connector 1/4,,0.0,0.0,62
Construction Materials,Metal Studs 2x3x10ft 0.7mm,,0.0,0.0,63
Construction Materials,Nippon Paint,Nippon Paint Elastex 4.30L,0.0,0.0,64
Construction Materials,OMNI Tubular Light - LT8G-15W-D,OMNI Tubular Light - LT8G-15W-DL,0.0,0.0,65
Construction Materials,Oven Tiles 30x60 Q362,,0.0,250.0,66
Construction Materials,P.E Connector 1/2,,0.0,0.0,67
Construction Materials,P.E Male 1/2,,0.0,0.0,68
Construction Materials,Paint roller ''4,,0.0,0.0,69
Construction Materials,Paint Thinner,,0.0,0.0,70
Construction Materials,PE Coupling #2,,0.0,0.0,71
Construction Materials,PE Coupling Reducer 1x1/2,,0.0,0.0,72
Construction Materials,PE Elbow Reducer 2x1 1/2,,0.0,0.0,73
Construction Materials,PE Pipe #2,,0.0,0.0,74
Construction Materials,Plain Sheet G.22 G.I 4'x8',,2.0,0.0,75
Construction Materials,Plug - Heavy Duty,,0.0,0.0,76
Construction Materials,Plumbing Materials for Samal S,Plumbing Materials for Samal Shores Convention Ce,0.0,0.0,77
Construction Materials,Polyethylene Tape,,0.0,0.0,78
Construction Materials,PVC Clamp 1/2,,0.0,0.0,79
Construction Materials,PVC Coupling Male Adapter #1,,0.0,0.0,80
Construction Materials,"PVC Coupling Threaded - 3/4""",,0.0,0.0,81
Construction Materials,PVC Elbow #1 25x240,,0.0,0.0,82
Construction Materials,PVC Elbow #1/2 20x120,,0.0,0.0,83
Construction Materials,PVC Elbow #3/4 20x240,,0.0,0.0,84
Construction Materials,PVC Elbow #3/4 20x80,,0.0,0.0,85
Construction Materials,PVC Elbow 4x90deg,,0.0,0.0,86
Construction Materials,PVC Fittings,"PVC Tube Pipe Fittings Wye 45°- 5"" (Y')",0.0,0.0,87
Construction Materials,PVC Panel YA-1,,0.0,0.0,88
Construction Materials,PVC Pipe #2,,0.0,0.0,89
Construction Materials,PVC Pipe #4,,0.0,0.0,90
Construction Materials,PVC Solvent 200cc,,0.0,0.0,91
Construction Materials,PVC Tee Reducer,"PVC Tee Reducer 5""",0.0,0.0,92
